label,n,p,k,ph,temperature,rainfall,district_name,soil_color,fertilizer,link
sugarcane,75,50,100,6.5,20,1000,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,80,50,100,6.5,20,1000,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,85,50,100,6.5,20,1000,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,90,50,100,6.5,20,1000,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,95,50,100,6.5,20,1000,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,100,50,100,6.5,20,1000,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,75,55,105,7.0,25,1100,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,80,55,105,7.0,25,1100,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,85,55,105,7.0,25,1100,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,90,55,105,7.0,25,1100,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,95,55,105,7.0,25,1100,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,100,55,105,7.0,25,1100,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,75,60,110,7.5,30,1200,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,80,60,110,7.5,30,1200,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,85,60,110,7.5,30,1200,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,90,60,110,7.5,30,1200,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,95,60,110,7.5,30,1200,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,100,60,110,7.5,30,1200,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,75,50,115,6.5,35,1300,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,80,50,115,6.5,35,1300,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,85,50,115,6.5,35,1300,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,90,50,115,6.5,35,1300,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,95,50,115,6.5,35,1300,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,100,50,115,6.5,35,1300,Kolhapur,Black,Urea,https://youtu.be/2t5Am0xLTOo
sugarcane,75,55,100,7.0,20,1400,Kolhapur,Black,DAP,https://youtu.be/2t5Am0xLTOo
sugarcane,80,55,100,7.0,20,1400,Kolhapur,Black,DAP,https://youtu.be/2t5Am0xLTOo
sugarcane,85,55,100,7.0,20,1400,Kolhapur,Black,DAP,https://youtu.be/2t5Am0xLTOo
sugarcane,90,55,100,7.0,20,1400,Kolhapur,Black,DAP,https://youtu.be/2t5Am0xLTOo
sugarcane,95,55,100,7.0,20,1400,Kolhapur,Black,DAP,https://youtu.be/2t5Am0xLTOo
sugarcane,100,55,100,7.0,20,1400,Kolhapur,Black,DAP,https://youtu.be/2t5Am0xLTOo
