source_file,source_row_id,raw_row_hash,crop_label_raw,crop_label_normalized,crop_label,crop_mapping_rule,crop_mapping_status,is_specific_crop_label,soil_type,ph,n,p,k,soil_moisture,temperature,rainfall,location,year,season,row_fingerprint,feature_fingerprint,is_raw_duplicate_in_source,is_raw_duplicate_after_first,duplicate_keep_source_row_id,is_canonical_duplicate_in_source,canonical_duplicate_group_size,global_fingerprint_group_size,feature_fingerprint_group_size,global_feature_fingerprint_group_size,feature_fingerprint_crop_label_count,has_conflicting_crop_labels_for_features,complete_required_features,has_negative_required_numeric,ph_outside_physical_range,row_quality_status,quality_tier,training_status
Crop_Recommendation.csv,1,f80fe8bc00000d57132600235b9f0b69bdc2615a8b1906226ebd0e6acb5d91ab,rice,rice,rice,identity,approved,True,,6.502985292,90,42,43,,20.87974371,202.9355362,,,,e4d08428d2819fb0cf4f805ae523e7ed8020b9e1813f01f6314b5db9b8362732,a26b482755b73c9e9da5623bfd4163bc849acf4fd184df1b480b7fa299afd64e,False,False,1,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,2,d0f816efd86c6f713c1b1ecc5776f2dd294927521b13422e88a6ad3ecda8b50b,rice,rice,rice,identity,approved,True,,7.038096361,85,58,41,,21.77046169,226.6555374,,,,62dca85c210ecd4956afcd9347b860e3b45fa43e5dc7562a3aad919620af0bca,b3f426af7fde2413e0f5b6eee58215324033e0fc0b68045a0a2161c8414151c7,False,False,2,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,3,447b24b86fd0e60b2da8757eee9b45789759cd8e6b3a983946aa746436f0fb3d,rice,rice,rice,identity,approved,True,,7.840207144,60,55,44,,23.00445915,263.9642476,,,,1bff5492d0a306553f3b8fe72f86378edabfadd6d08f29b6e4814d3d9d5ad85c,20f36ad03c15dd2bc82886fb777adccae7b9fc0cab68dc00950a509c751ffb50,False,False,3,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,4,bee0ac65a5d66417ca332ceffd1b87069d393f9ac5820cf810a105e9fd71593e,rice,rice,rice,identity,approved,True,,6.980400905,74,35,40,,26.49109635,242.8640342,,,,20e2647e2176ed490dae29a855056a6d186bca1d5e1b21d547db463de7c140fc,9db63711da0b21949c29f23118f9b85644e989369c90fc627556797791a51ad6,False,False,4,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,5,1bbea3b6ad3fba38b39d91a8c49c46be395c0fe08544d144e7ac9911231de72c,rice,rice,rice,identity,approved,True,,7.628472891,78,42,42,,20.13017482,262.7173405,,,,5bc4b276e2130952345dc63d24f9f0cb61590fe04b18cd4e833cb5abe1594a52,c58b3fbb80a315c246378e9c9e17303d3db5ee413dffe21bcca2e841eb6e35da,False,False,5,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,6,03947fd0ac088817348d414222469dff5d1af77033a38fdeaff9cf844fac4220,rice,rice,rice,identity,approved,True,,7.073453503,69,37,42,,23.05804872,251.0549998,,,,654d9ebdc552f9c6a8d90390b3bc02fa9242cbac603187b1305d2d8da40821a0,2aa8743730176b0065ed983c214d1266d9a218ed5f093d18b0effa3a0a727035,False,False,6,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,7,daf1da33d848347978dd6b537c3237aa5b91159cc336d94936fe5fbd3b43963b,rice,rice,rice,identity,approved,True,,5.70080568,69,55,38,,22.70883798,271.3248604,,,,97cafe2d73927fce1de35ddcfa9ce7d677bf4209ea0d68bc76eda5600934f977,53bffbfdf89b9146ff42e734a77084774ef7048eee4f38cb4293e154769b8c9e,False,False,7,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,8,3d3bc7230c5d925a2c970f7a968b70c7089c5db13101c0656379f77a79689286,rice,rice,rice,identity,approved,True,,5.718627178,94,53,40,,20.27774362,241.9741949,,,,55e953e506a0c0d9925b6b2f3531490574113a19f15cde4ad200a4ba5240c06c,b2647eede92e00e9772a0d762d65329479dc6aedecb9b12930cf466eaba1baf6,False,False,8,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,9,46d61df592cf8d04b73da91e9a99c480a5feece3ea78b15c75ab21342004cc47,rice,rice,rice,identity,approved,True,,6.685346424,89,54,38,,24.51588066,230.4462359,,,,5bbebbea53646a7fda208d5212e97c6de4cc8ef067861666035b89ef8083f310,2360ff3234fe025c2ba6e3057ca51364c9935efa4c3173fc9984b242193fd6c1,False,False,9,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,10,ec305172cc97a1e40fba05e27389ea6e607b9f71fd9d4fe14e4ecb8868814bfd,rice,rice,rice,identity,approved,True,,6.336253525,68,58,38,,23.22397386,221.2091958,,,,5d5d4c42f056cbd15d11cde4101ad0d0a5e134b17531fdc7b1befa067396c5c3,d5a462635185d61e2a7836390b91547ec2c87bf3bc53e1135519eb32af9a7b61,False,False,10,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,11,3e60a34f3eb237816fed8e9c4dc1a4bd582808944332d17f1eea04bc282aabb8,rice,rice,rice,identity,approved,True,,5.386167788,91,53,40,,26.52723513,264.6148697,,,,b4971eaf35e6f5fde03213caf5476dfea53238f86fc5b671ee5bde7809f0d8d7,0e21d0737056d49a3dcb3e41ee06a9ab2a56e11b8bb115905977760e39dfbd8c,False,False,11,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,12,ca36a541fe6447d10c82e63d1eb049883bd4dafb71f85198ae25bc073b063f5e,rice,rice,rice,identity,approved,True,,7.50283396,90,46,42,,23.97898217,250.0832336,,,,83e482c439ff1dbcc6a633291c02825f9ae509a2cd650b953b1d2cc9b4bbcb7b,b4afec4566344400ed5969a30394c614282d2d755ef6ba26a18d8c84aa14c8fb,False,False,12,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,13,8580d219c95c369470652d62dbc42d0fac994d2777b1f8c969518ad46f451e0f,rice,rice,rice,identity,approved,True,,5.108681786,78,58,44,,26.80079604,284.4364567,,,,b8641545092f44e3cf0358066a24d98c86c189aae1e511d63440dadd658654c5,43b5e94fe89332ce6d1160f8f98d070c1799876314e6d7527ae6fd676cdc25f3,False,False,13,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,14,9b9fc0f731d2c0c9389521e51e39349a4233ce8b23262955f37bed6296a04134,rice,rice,rice,identity,approved,True,,6.98435366,93,56,36,,24.01497622,185.2773389,,,,b290c91ad238f1d6ea44285c9460fe3a572e76b65c8d9c25fd0de8c73114ede4,0fd854daa8a90b49ea2d12c19ded547c5df8275ff4e017641c4279a285d1aca4,False,False,14,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,15,2cdd1c29054d469b959007303da61fc296649913831234bdd9ad9d90b63e73d0,rice,rice,rice,identity,approved,True,,6.94801983,94,50,37,,25.66585205,209.5869708,,,,8bdb85a50fddb53d59558d85cefdb19c2600710c94cc57bfba985051688b7811,91bf71e71853231778a9703e255cf6a6246f70ba0256cf10c3994ce623d2c11e,False,False,15,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
Crop_Recommendation.csv,16,2888b762c2ce38f9561b574dcf990aa7268ae0745e87ad8972816120f8eb4e33,rice,rice,rice,identity,approved,True,,7.042299069,60,48,39,,24.28209415,231.0863347,,,,0312c0d0bd8a4c670a3dc822f163e5e13e100d6f57e75321b80986e2bccba78a,10eb6fff4e127a52ec968f280d4021682b0de7d685f181c8b6a9e15e8ca03fc6,False,False,16,False,1,1,1,1,1,False,False,False,False,reviewable,prototype_candidate,candidate_after_validation
