source_file,source_row_id,feature_fingerprint,crop_label,split
Crop_Recommendation.csv,1501,26b06ce84ade4cb87f9d7eb44ee4f8b097b7c993ec6c49db4a396ca246d600ba,apple,train
Crop_Recommendation.csv,1504,cb64425de0d962ed7e665f40a2f1606fb7c39f0ccc5131605db8aaf4dcbd967e,apple,train
Crop_Recommendation.csv,1505,410b832781221795a013007bf5d765d57e5826b1e5c7dc949efcc7f5317a4096,apple,train
Crop_Recommendation.csv,1506,dc8ee4778650497641b38dfbdbe6ed5589c46c117886b8904a05362c5bf14867,apple,train
Crop_Recommendation.csv,1507,35f2059f6729517d4d6388d4b72571274eb72bdc587c7f1ef977e8e36a56d6af,apple,train
Crop_Recommendation.csv,1508,880398a4df9fea892f5695137af7066f51505fd7548a14a2adeaa58ded285fc4,apple,train
Crop_Recommendation.csv,1509,0abcf857a340daacebc1587f93af38a2d0cc65f6e377a9bbce944e00554e25f0,apple,train
Crop_Recommendation.csv,1510,c01a3b2770c7f133ca3ed8c5be969c94b2b428d6a531e2dbbc55e686d4a3d1a4,apple,train
Crop_Recommendation.csv,1511,46a96341ea93351501a78f22da243043c4dfef415157c15cd90c7546699dd709,apple,train
Crop_Recommendation.csv,1512,a521f97c5251aec5ddb00a54e80f61038850b766de017c2c44f8d19f56fe6bfc,apple,train
Crop_Recommendation.csv,1513,431a3450f32981044f6eee58d837176a604a928c6cd4cd40ea2ebe8e1fc523eb,apple,train
Crop_Recommendation.csv,1514,1026a25b8f3a0ac17eeeb3a181a9714006f813b22ceb9f5be797e03fe97b094b,apple,train
Crop_Recommendation.csv,1516,6de9f94a79170d979629a89a49b665464129a8ca21f7db0ee2e0db9dfccb23c2,apple,train
Crop_Recommendation.csv,1517,2ba2dcb793315dfe473edd8552e2585dfe8abfd96839f9020c370b242f2fe119,apple,train
Crop_Recommendation.csv,1518,f58e45472b5874f87bbd9cd2fe295d291f6acb676f674e91a59ea5a298404800,apple,train
Crop_Recommendation.csv,1519,475863cf62c27037c1564a317998551614e35722d3bbd27cc1bd9da879e34497,apple,train
Crop_Recommendation.csv,1520,9c1de6271a4d212b301df959da5acf01de365e02b1efaca2c8a9b0f3c610d86e,apple,train
Crop_Recommendation.csv,1523,a991e6c39c6ad58e9ac813f79d2bd5239d2e68fe69223a5ba328c636667215ef,apple,train
