source_file,source_row_id,feature_fingerprint,n,p,k,ph,temperature,rainfall,crop_label,split
Crop_Recommendation.csv,1501,26b06ce84ade4cb87f9d7eb44ee4f8b097b7c993ec6c49db4a396ca246d600ba,24,128,196,5.521466996,22.75088787,110.4317855,apple,train
Crop_Recommendation.csv,1504,cb64425de0d962ed7e665f40a2f1606fb7c39f0ccc5131605db8aaf4dcbd967e,8,120,201,6.321152192,21.18667419,122.233323,apple,train
Crop_Recommendation.csv,1505,410b832781221795a013007bf5d765d57e5826b1e5c7dc949efcc7f5317a4096,20,129,201,5.587905967,23.41044706,116.0777931,apple,train
Crop_Recommendation.csv,1506,dc8ee4778650497641b38dfbdbe6ed5589c46c117886b8904a05362c5bf14867,32,137,204,5.824151693,22.86006627,117.7296726,apple,train
Crop_Recommendation.csv,1507,35f2059f6729517d4d6388d4b72571274eb72bdc587c7f1ef977e8e36a56d6af,27,139,205,5.772179946,22.48403042,105.5473627,apple,train
Crop_Recommendation.csv,1508,880398a4df9fea892f5695137af7066f51505fd7548a14a2adeaa58ded285fc4,0,123,205,5.790993052,22.02775403,121.1349176,apple,train
Crop_Recommendation.csv,1509,0abcf857a340daacebc1587f93af38a2d0cc65f6e377a9bbce944e00554e25f0,22,144,196,6.499226821,21.91191314,117.0761277,apple,train
Crop_Recommendation.csv,1510,c01a3b2770c7f133ca3ed8c5be969c94b2b428d6a531e2dbbc55e686d4a3d1a4,1,124,199,5.658473817,23.71059131,112.6676589,apple,train
Crop_Recommendation.csv,1511,46a96341ea93351501a78f22da243043c4dfef415157c15cd90c7546699dd709,30,122,197,5.573241391,21.37784654,106.1417017,apple,train
Crop_Recommendation.csv,1512,a521f97c5251aec5ddb00a54e80f61038850b766de017c2c44f8d19f56fe6bfc,29,121,196,6.079497202,22.84852833,123.5977843,apple,train
Crop_Recommendation.csv,1513,431a3450f32981044f6eee58d837176a604a928c6cd4cd40ea2ebe8e1fc523eb,13,126,204,6.383180271,23.1094265,108.183792,apple,train
Crop_Recommendation.csv,1514,1026a25b8f3a0ac17eeeb3a181a9714006f813b22ceb9f5be797e03fe97b094b,9,139,199,5.867420996,23.25230817,105.3558408,apple,train
Crop_Recommendation.csv,1516,6de9f94a79170d979629a89a49b665464129a8ca21f7db0ee2e0db9dfccb23c2,30,143,199,5.7983508,23.76881552,102.2648546,apple,train
Crop_Recommendation.csv,1517,2ba2dcb793315dfe473edd8552e2585dfe8abfd96839f9020c370b242f2fe119,36,140,198,6.28188384,23.34386401,104.4267991,apple,train
Crop_Recommendation.csv,1518,f58e45472b5874f87bbd9cd2fe295d291f6acb676f674e91a59ea5a298404800,37,137,199,5.697945522,22.63946441,108.3405879,apple,train
Crop_Recommendation.csv,1519,475863cf62c27037c1564a317998551614e35722d3bbd27cc1bd9da879e34497,33,121,203,5.605934087,22.45696744,114.8407725,apple,train
Crop_Recommendation.csv,1520,9c1de6271a4d212b301df959da5acf01de365e02b1efaca2c8a9b0f3c610d86e,7,144,195,5.85648105,22.96388477,104.6472986,apple,train
Crop_Recommendation.csv,1523,a991e6c39c6ad58e9ac813f79d2bd5239d2e68fe69223a5ba328c636667215ef,2,143,196,5.669489065,22.71271308,109.8852597,apple,train
Crop_Recommendation.csv,1525,9ad56007f91592a9f14f252603787fac4c65c3ee2c897c5a8c37baba97addb0c,29,144,204,5.800448951,22.43324518,119.1025189,apple,train
Crop_Recommendation.csv,1526,1988b9845feea62df259c7659dd4c15632ae656954b01f5117c2220a1976399d,32,141,203,5.821347769,21.25941052,109.0658471,apple,train
Crop_Recommendation.csv,1527,be41b0cba4e939bb188628936e53dc288e709cf4257706eb99be80d9d52d73c4,13,144,197,6.28022267,22.9215706,105.6941544,apple,train
Crop_Recommendation.csv,1528,8ae9673828a5cfacff3c20a28efd739de17065defa3f9bc5344c2a6b3f1d44a0,25,143,198,6.027314401,22.81212536,107.855225,apple,train
Crop_Recommendation.csv,1529,06000bb2b25eb15246953ae29f715717496b3d2a12c32f8e8c904b0643b16c74,9,137,200,5.636687393,21.12152071,102.8017203,apple,train
